"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular nitrogen compound metabolic process","GO:0034641","0.0000022936666978048862","5.639469690977402","2273","190","125","5067","YER142C,YFL045C,YGR209C,YMR039C,YJL101C,YOR198C,YML010W,YOR028C,YMR246W,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YDR226W,YJL026W,YAL040C,YOR358W,YPL089C,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YMR287C,YKL180W,YOR270C,YOR335C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL221C,YMR229C,YER043C,YIL154C,YPL086C,YOR229W,YPL031C,YDL020C,YKL103C,YMR105C,YCL040W,YMR170C,YNL160W,YOR347C,YGR244C,YML004C"
"GO:BP","rRNA metabolic process","GO:0016072","0.00000300043988084092","5.522815070674461","301","190","34","5067","YML010W,YMR287C,YKL180W,YNL112W,YDR087C,YJL033W,YNR038W,YPL211W,YLR197W,YHR089C,YGR159C,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YLR167W,YJL136C,YER074W,YPL198W,YLL045C,YML063W,YGL123W,YGL135W,YPL220W,YDR064W,YOR063W,YCR031C,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C"
"GO:BP","ribosomal large subunit biogenesis","GO:0042273","0.000012571431910208474","4.900615252522106","121","190","20","5067","YKL180W,YIR012W,YNR038W,YPL211W,YLR009W,YHL033C,YDR500C,YIL148W,YPL198W,YLL045C,YPR102C,YKL006W,YGL135W,YPL220W,YEL054C,YOR063W,YLR340W,YLR344W,YDL191W,YMR229C"
"GO:BP","organonitrogen compound metabolic process","GO:1901564","0.0000346624131696683","4.460141205332759","1962","190","110","5067","YGL038C,YFL045C,YGR209C,YJL101C,YJL172W,YMR246W,YKL213C,YKR080W,YOR128C,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YAL040C,YGL017W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YLR286C,YKL180W,YOR270C,YOR335C,YEL009C,YKL216W,YOR361C,YOR095C,YMR217W,YLR249W,YLR009W,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YJL197W,YER043C,YMR108W,YER091C,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YLR259C,YKL103C,YLR178C,YLL026W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YGR244C,YIR039C,YML004C"
"GO:BP","metabolic process","GO:0008152","0.00006756985793364633","4.170246994182889","3722","190","169","5067","YER142C,YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YOR198C,YGR207C,YLR354C,YJL172W,YML010W,YOR028C,YMR246W,YIL009W,YLR056W,YBR222C,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YOR036W,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YLR300W,YGR282C,YJL026W,YAL040C,YLR332W,YOR358W,YMR261C,YDL174C,YPL089C,YGL017W,YIL070C,YJL063C,YGL187C,YGL191W,YLR395C,YBL099W,YLR295C,YKL067W,YIL123W,YMR287C,YMR015C,YLR286C,YKL180W,YMR202W,YOR270C,YOR335C,YML123C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL111C,YJL197W,YMR301C,YNL221C,YMR229C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YMR081C,YLR259C,YBR126C,YKL103C,YLR178C,YMR105C,YLL026W,YEL011W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YML120C,YGR244C,YIR039C,YML004C"
"GO:BP","ncRNA metabolic process","GO:0034660","0.00009659785939887617","4.015032497410143","466","190","41","5067","YML010W,YMR287C,YKL180W,YOR335C,YJL098W,YNL112W,YDR087C,YJL033W,YJL125C,YNR038W,YPL211W,YLR197W,YHR089C,YGR159C,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YLR167W,YJL136C,YER074W,YPL198W,YLL045C,YML063W,YGL123W,YGL135W,YPL220W,YDR064W,YOR063W,YCR031C,YKL156W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL221C,YMR229C,YPL086C"
"GO:BP","ncRNA processing","GO:0034470","0.00010566533570229722","3.976067462856375","397","190","37","5067","YML010W,YMR287C,YKL180W,YJL098W,YNL112W,YDR087C,YJL033W,YJL125C,YNR038W,YPL211W,YLR197W,YHR089C,YGR159C,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YLR167W,YJL136C,YER074W,YPL198W,YLL045C,YML063W,YGL123W,YGL135W,YPL220W,YDR064W,YOR063W,YCR031C,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C,YPL086C"
"GO:BP","primary metabolic process","GO:0044238","0.000147570113823687","3.8310015877411314","3314","190","156","5067","YER142C,YGL038C,YFL045C,YGR209C,YMR039C,YOR198C,YLR354C,YJL172W,YML010W,YOR028C,YMR246W,YIL009W,YLR056W,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YLR300W,YGR282C,YJL026W,YAL040C,YOR358W,YMR261C,YPL089C,YGL017W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YIL123W,YMR287C,YMR015C,YLR286C,YKL180W,YMR202W,YOR270C,YOR335C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL111C,YJL197W,YNL221C,YMR229C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YLR259C,YBR126C,YKL103C,YLR178C,YMR105C,YLL026W,YEL011W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YGR244C,YIR039C"
"GO:BP","organic substance metabolic process","GO:0071704","0.0002010192579518104","3.696762334512012","3486","190","161","5067","YER142C,YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YOR198C,YLR354C,YJL172W,YML010W,YOR028C,YMR246W,YIL009W,YLR056W,YBR222C,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YLR300W,YGR282C,YJL026W,YAL040C,YOR358W,YMR261C,YDL174C,YPL089C,YGL017W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YIL123W,YMR287C,YMR015C,YLR286C,YKL180W,YMR202W,YOR270C,YOR335C,YML123C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL111C,YJL197W,YNL221C,YMR229C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YLR259C,YBR126C,YKL103C,YLR178C,YMR105C,YLL026W,YEL011W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YGR244C,YIR039C,YML004C"
"GO:BP","cellular metabolic process","GO:0044237","0.0004674237966471608","3.3302891813544186","3548","190","162","5067","YER142C,YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YOR198C,YLR354C,YJL172W,YML010W,YOR028C,YMR246W,YIL009W,YLR056W,YBR222C,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YOR036W,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YLR300W,YJL026W,YAL040C,YLR332W,YOR358W,YMR261C,YDL174C,YPL089C,YGL017W,YIL070C,YJL063C,YGL187C,YGL191W,YLR395C,YBL099W,YLR295C,YKL067W,YMR287C,YMR015C,YLR286C,YKL180W,YMR202W,YOR270C,YOR335C,YML123C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YJL197W,YMR301C,YNL221C,YMR229C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YMR081C,YBR126C,YKL103C,YMR105C,YLL026W,YEL011W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YML120C,YGR244C,YML004C"
"GO:BP","ribosomal small subunit assembly","GO:0000028","0.0005564600694463887","3.2545659943863785","29","190","9","5067","YGR159C,YJL191W,YLR167W,YOL121C,YOR293W,YNL302C,YCR031C,YKL156W,YMR229C"
"GO:BP","cellular macromolecule biosynthetic process","GO:0034645","0.0010560925094405158","2.976298037692504","1502","190","87","5067","YGL038C,YFL045C,YMR039C,YML010W,YOR028C,YMR182C,YAL015C,YKL017C,YGL253W,YOR344C,YDR226W,YJL026W,YAL040C,YOR358W,YPL089C,YIL070C,YJL063C,YKL180W,YOR335C,YEL009C,YBR154C,YPR110C,YOR361C,YOR224C,YLR249W,YLR009W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YLR342W,YIL154C,YPL086C,YOR229W,YPL031C,YGR032W,YDL020C,YMR105C,YEL011W"
"GO:BP","rRNA export from nucleus","GO:0006407","0.0018355543027041923","2.7362327628810856","18","190","7","5067","YDR450W,YOL121C,YER131W,YGL189C,YOR293W,YNL302C,YGL123W"
"GO:BP","rRNA transport","GO:0051029","0.0018355543027041923","2.7362327628810856","18","190","7","5067","YDR450W,YOL121C,YER131W,YGL189C,YOR293W,YNL302C,YGL123W"
"GO:BP","macromolecule biosynthetic process","GO:0009059","0.0018371211712901335","2.735862197920013","1520","190","87","5067","YGL038C,YFL045C,YMR039C,YML010W,YOR028C,YMR182C,YAL015C,YKL017C,YGL253W,YOR344C,YDR226W,YJL026W,YAL040C,YOR358W,YPL089C,YIL070C,YJL063C,YKL180W,YOR335C,YEL009C,YBR154C,YPR110C,YOR361C,YOR224C,YLR249W,YLR009W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YLR342W,YIL154C,YPL086C,YOR229W,YPL031C,YGR032W,YDL020C,YMR105C,YEL011W"
"GO:BP","ribonucleoprotein complex subunit organization","GO:0071826","0.0043297296351070625","2.3635392218099236","202","190","22","5067","YNL112W,YIR012W,YPL211W,YGR159C,YLR009W,YJL191W,YIL148W,YLR167W,YOL121C,YER131W,YGL189C,YPR102C,YOR293W,YNL302C,YEL054C,YOR063W,YCR031C,YOR276W,YLR340W,YKL156W,YMR229C,YLL026W"
"GO:BP","maturation of LSU-rRNA","GO:0000470","0.005517570490046803","2.25825210977613","57","190","11","5067","YKL180W,YNR038W,YPL211W,YHL033C,YDR500C,YPL198W,YLL045C,YGL135W,YPL220W,YDL191W,YMR229C"
"GO:BP","ribonucleoprotein complex assembly","GO:0022618","0.005720324957998937","2.2425792992739066","190","190","21","5067","YNL112W,YIR012W,YPL211W,YGR159C,YLR009W,YJL191W,YIL148W,YLR167W,YOL121C,YER131W,YGL189C,YPR102C,YOR293W,YNL302C,YEL054C,YOR063W,YCR031C,YOR276W,YLR340W,YKL156W,YMR229C"
"GO:BP","purine-containing compound metabolic process","GO:0072521","0.007318042301335759","2.1356050844389713","134","190","17","5067","YMR246W,YKR080W,YOR128C,YGL253W,YOR344C,YDR226W,YGL187C,YBL099W,YLR295C,YKL067W,YOR270C,YMR217W,YNL141W,YER043C,YCL040W,YOR347C,YGR244C"
"GO:BP","organelle assembly","GO:0070925","0.010514583928829698","1.9782079080455128","182","190","20","5067","YIR012W,YPL211W,YGR159C,YLR009W,YJL191W,YIL148W,YLR167W,YOL121C,YER131W,YGL189C,YPR102C,YOR293W,YNL302C,YEL054C,YOR063W,YCR031C,YOR276W,YLR340W,YKL156W,YMR229C"
"GO:BP","nitrogen compound metabolic process","GO:0006807","0.010993413813733971","1.9588674240237192","3108","190","144","5067","YER142C,YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YOR198C,YJL172W,YML010W,YOR028C,YMR246W,YMR182C,YAL015C,YKL213C,YKL017C,YKR080W,YOR128C,YGR147C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YJL026W,YAL040C,YOR358W,YPL089C,YGL017W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YMR287C,YLR286C,YKL180W,YOR270C,YOR335C,YJL098W,YEL009C,YNL112W,YKL216W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YOR095C,YNR038W,YOR224C,YMR217W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YJL197W,YNL221C,YMR229C,YER043C,YMR108W,YER091C,YIL154C,YPL086C,YOR229W,YDR234W,YDL127W,YKL001C,YLR303W,YPL031C,YDL020C,YLR259C,YKL103C,YLR178C,YMR105C,YLL026W,YCL040W,YMR170C,YNL160W,YOR347C,YEL060C,YLR142W,YGR244C,YIR039C,YML004C"
"GO:BP","gene expression","GO:0010467","0.013765113385265659","1.8612202069083266","1738","190","93","5067","YMR039C,YML010W,YOR028C,YMR182C,YGR147C,YGL253W,YOR344C,YAL040C,YOR358W,YPL089C,YIL070C,YJL063C,YMR287C,YKL180W,YOR335C,YJL098W,YEL009C,YNL112W,YBR154C,YDR087C,YPR110C,YJL033W,YJL125C,YOR361C,YNR038W,YOR224C,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL221C,YMR229C,YIL154C,YPL086C,YOR229W,YPL031C,YDL020C,YLR259C"
"GO:BP","purine nucleotide metabolic process","GO:0006163","0.0201815460664519","1.6950455664237398","116","190","15","5067","YMR246W,YKR080W,YOR128C,YGL253W,YOR344C,YDR226W,YGL187C,YBL099W,YLR295C,YKL067W,YOR270C,YMR217W,YCL040W,YOR347C,YGR244C"
"GO:BP","nucleobase-containing small molecule metabolic process","GO:0055086","0.024617101471556886","1.6087630841835345","225","190","22","5067","YFL045C,YGR209C,YMR246W,YKR080W,YOR128C,YGL253W,YOR344C,YDR226W,YJL026W,YGL187C,YBL099W,YLR295C,YKL067W,YOR270C,YKL216W,YMR217W,YNL141W,YER043C,YMR105C,YCL040W,YOR347C,YGR244C"
"GO:BP","nucleotide metabolic process","GO:0009117","0.04569824348903876","1.3401004926583433","185","190","19","5067","YGR209C,YMR246W,YKR080W,YOR128C,YGL253W,YOR344C,YDR226W,YJL026W,YGL187C,YBL099W,YLR295C,YKL067W,YOR270C,YKL216W,YMR217W,YNL141W,YCL040W,YOR347C,YGR244C"
"GO:BP","ribonucleotide metabolic process","GO:0009259","0.049342638650367726","1.3067776298634424","125","190","15","5067","YMR246W,YOR128C,YGL253W,YOR344C,YDR226W,YGL187C,YBL099W,YLR295C,YKL067W,YOR270C,YKL216W,YMR217W,YCL040W,YOR347C,YGR244C"
