"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","translation","GO:0006412","1.912011271184968e-14","13.718509551913995","455","190","57","5067","YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W"
"GO:BP","organonitrogen compound biosynthetic process","GO:1901566","8.873065497426412e-13","12.051926312680779","977","190","84","5067","YGL038C,YFL045C,YJL101C,YKR080W,YOR128C,YER090W,YPR145W,YGL202W,YDR226W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YKL180W,YOR270C,YOR335C,YEL009C,YKL216W,YOR361C,YOR095C,YMR217W,YLR249W,YLR009W,YNL141W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YER043C,YMR108W,YER091C,YDR234W,YKL001C,YLR303W,YMR170C,YLR142W"
"GO:BP","ribosome biogenesis","GO:0042254","7.110790127321502e-12","11.148082139232217","407","190","50","5067","YML010W,YMR287C,YKL180W,YNL112W,YBR154C,YDR087C,YPR110C,YJL033W,YIR012W,YNR038W,YOR224C,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YIL148W,YLR167W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YDR064W,YOR063W,YCR031C,YLR340W,YLR344W,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C"
"GO:BP","ribonucleoprotein complex biogenesis","GO:0022613","8.883530480707006e-9","8.051414403188241","504","190","51","5067","YML010W,YMR287C,YKL180W,YNL112W,YBR154C,YDR087C,YPR110C,YJL033W,YIR012W,YNR038W,YOR224C,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YIL148W,YLR167W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YDR064W,YOR063W,YCR031C,YOR276W,YLR340W,YLR344W,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C"
"GO:BP","ribosome assembly","GO:0042255","2.791874686419168e-8","7.554104078963646","78","190","19","5067","YIR012W,YPL211W,YGR159C,YLR009W,YJL191W,YIL148W,YLR167W,YOL121C,YER131W,YGL189C,YPR102C,YOR293W,YNL302C,YEL054C,YOR063W,YCR031C,YLR340W,YKL156W,YMR229C"
"GO:BP","cellular nitrogen compound biosynthetic process","GO:0044271","4.2622463186645407e-7","6.370361455666946","1496","190","96","5067","YFL045C,YGR209C,YMR039C,YJL101C,YML010W,YOR028C,YMR182C,YKR080W,YOR128C,YGL253W,YOR344C,YER090W,YPR145W,YDR226W,YJL026W,YAL040C,YOR358W,YPL089C,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YKL180W,YOR270C,YOR335C,YEL009C,YKL216W,YBR154C,YPR110C,YOR361C,YOR095C,YOR224C,YMR217W,YLR249W,YLR009W,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YIL154C,YPL086C,YOR229W,YPL031C,YDL020C,YMR170C"
"GO:BP","cellular biosynthetic process","GO:0044249","6.033576759368168e-7","6.219425157786771","2023","190","117","5067","YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YML010W,YOR028C,YLR056W,YMR182C,YAL015C,YKL017C,YKR080W,YOR128C,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YJL026W,YAL040C,YOR358W,YMR261C,YPL089C,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YMR015C,YKL180W,YMR202W,YOR270C,YOR335C,YEL009C,YKL216W,YBR154C,YPR110C,YOR361C,YOR095C,YOR224C,YMR217W,YLR249W,YLR009W,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YMR301C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YBR126C,YMR105C,YEL011W,YMR170C,YLR142W"
"GO:BP","rRNA processing","GO:0006364","6.335094664322956e-7","6.198246891137932","284","190","34","5067","YML010W,YMR287C,YKL180W,YNL112W,YDR087C,YJL033W,YNR038W,YPL211W,YLR197W,YHR089C,YGR159C,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YLR167W,YJL136C,YER074W,YPL198W,YLL045C,YML063W,YGL123W,YGL135W,YPL220W,YDR064W,YOR063W,YCR031C,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C"
"GO:BP","organic substance biosynthetic process","GO:1901576","7.223511899813281e-7","6.141251607431451","2054","190","118","5067","YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YML010W,YOR028C,YLR056W,YMR182C,YAL015C,YKL017C,YKR080W,YOR128C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YJL026W,YAL040C,YOR358W,YMR261C,YPL089C,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YMR015C,YKL180W,YMR202W,YOR270C,YOR335C,YEL009C,YKL216W,YBR154C,YPR110C,YOR361C,YOR095C,YOR224C,YMR217W,YLR249W,YLR009W,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL111C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YBR126C,YMR105C,YEL011W,YMR170C,YLR142W"
"GO:BP","biosynthetic process","GO:0009058","7.730069022589156e-7","6.111816628203827","2082","190","119","5067","YGL038C,YFL045C,YGR209C,YMR039C,YJL101C,YML010W,YOR028C,YLR056W,YMR182C,YAL015C,YKL017C,YKR080W,YOR128C,YLR134W,YGL253W,YOR344C,YER090W,YPR145W,YGL202W,YDR226W,YJL026W,YAL040C,YOR358W,YMR261C,YPL089C,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YMR015C,YKL180W,YMR202W,YOR270C,YOR335C,YEL009C,YKL216W,YBR154C,YPR110C,YOR361C,YOR095C,YOR224C,YMR217W,YLR249W,YLR009W,YNL141W,YBR034C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR063C,YGR094W,YPR033C,YLR060W,YNL111C,YMR301C,YER043C,YMR108W,YER091C,YLR342W,YIL154C,YPL086C,YOR229W,YDR234W,YKL001C,YLR303W,YPL031C,YGR032W,YDL020C,YBR126C,YMR105C,YEL011W,YMR170C,YLR142W"
